Место,Название банка,Показатель декабрь,Показатель ноябрь,Изменение в тыс.руб.,Изменение в %
1,Сбербанк,50695718774,49521583445,+1174135329,"+2,37%"
2,ВТБ,26188218945,25817813653,+370405292,"+1,43%"
3,Газпромбанк,15296029418,14965876444,+330152974,"+2,21%"
4,Альфа-Банк,8411400483,8141461532,+269938951,"+3,32%"
5,НКЦ (Национальный клиринговый центр),7527002331,7047877974,+479124357,"+6,80%"
6,Московский кредитный банк (МКБ),4971033526,5021329703,−50296177,"−1,00%"
7,Россельхозбанк,4672004684,4593350831,+78653853,"+1,71%"
8,Банк «Открытие»,3245494960,3881342321,−635847361,"−16,38%"
9,Совкомбанк,3007306113,2898179826,+109126287,"+3,77%"
10,Банк ДОМ.РФ,2361924750,2307370311,+54554439,"+2,36%"
11 +1,Росбанк,2173517945,1976138387,+197379558,"+9,99%"
12 −1,Райффайзен Банк,2002704556,2102781894,−100077338,"−4,76%"
13,Тинькофф Банк,1934593670,1818034273,+116559397,"+6,41%"
14,Национальный расчетный депозитарий (НРД),1796888119,1774738786,+22149333,"+1,25%"
15,Банк «РОССИЯ»,1357140782,1345193436,+11947346,"+0,89%"
16,ЮниКредит Банк,1236119183,1261255571,−25136388,"−1,99%"
17 +1,Банк «Санкт-Петербург»,1042804601,994533460,+48271141,"+4,85%"
18 +1,Ак Барс Банк,879308756,886070367,−6761611,"−0,76%"
19 +1,Новикомбанк,773343011,791716045,−18373034,"−2,32%"
20 +1,Уралсиб,709787812,679145143,+30642669,"+4,51%"
21 +1,Почта Банк,640672403,596992245,+43680158,"+7,32%"
22 +1,Ситибанк,567224364,579139824,−11915460,"−2,06%"
23 −6,БМ-Банк,540332996,1047941149,−507608153,"−48,44%"
24 +1,АКБ «БЭНК ОФ ЧАЙНА»,491186251,530091807,−38905556,"−7,34%"
25 +2,МТС Банк,449775975,421431166,+28344809,"+6,73%"
26,РНКБ,438857762,430876584,+7981178,"+1,85%"
27 −3,АйСиБиСи Банк,432947358,552022696,−119075338,"−21,57%"
28,Уральский банк реконструкции и развития (УБРиР),364410008,368760016,−4350008,"−1,18%"
29,ОТП Банк,350887619,350612492,+275127,"+0,08%"
30,Банк ТКБ,327615964,332292559,−4676595,"−1,41%"
31,Банк ЗЕНИТ,312494077,303477176,+9016901,"+2,97%"
32,Драйв Клик Банк,301253070,293324518,+7928552,"+2,70%"
33 +2,Хоум Банк,288290804,273726850,+14563954,"+5,32%"
34 +2,Росэксимбанк,282656436,272945399,+9711037,"+3,56%"
35 −2,Абсолют Банк,277266345,284053084,−6786739,"−2,39%"
36 −2,«Траст»,265095664,280353633,−15257969,"−5,44%"
37,Экспобанк,227151697,247348156,−20196459,"−8,17%"
38 +8,ББР Банк,222043598,168551476,+53492122,"+31,74%"
39,Русский Стандарт,220626676,222435587,−1808911,"−0,81%"
40,Азиатско-Тихоокеанский банк (АТБ),217751648,217556479,+195169,"+0,09%"
41 −3,Кредит Европа Банк,213756855,226631510,−12874655,"−5,68%"
42 −1,Металлинвестбанк,209776921,209990863,−213942,"−0,10%"
43 −1,Дж. П. Морган Банк Интернешнл,209196318,209110957,+85361,"+0,04%"
44 −1,Банк «Аверс»,186609358,188996614,−2387256,"−1,26%"
45 +4,Банк Синара (СКБ-банк),178256035,148136304,+30119731,"+20,33%"
46 −1,Инвестторгбанк,176803622,172039161,+4764461,"+2,77%"
47 −3,Кубань Кредит,171260041,173679782,−2419741,"−1,39%"
48 −1,Локо-Банк,165642521,167520220,−1877699,"−1,12%"
49 +3,Ингосстрах Банк,149609197,143726208,+5882989,"+4,09%"
50 −2,Газэнергобанк,144925461,151384221,−6458760,"−4,27%"
